排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
30,高数为什么不能好好说话？,152 万热度,https://www.zhihu.com/question/430600056,54,383,110852,2020-11-24
31,如何评价原神的新活动「未归的熄星」?,144 万热度,https://www.zhihu.com/question/430931337,37,74,131130,2020-11-24
32,江苏淮安重大暴力袭警案宣判，被告人被判处死刑，如何看待这一判决结果？还有哪些信息值得关注？,134 万热度,https://www.zhihu.com/question/431742603,29,188,94715,2020-11-24
33,如何评价《全员恶玉》？,132 万热度,https://www.zhihu.com/question/425070289,86,165,224075,2020-11-24
34,如何看待《中国化学》一论文通讯作者把自己 P 成女娲，作为期刊封面？,128 万热度,https://www.zhihu.com/question/431763472,27,84,62545,2020-11-24
35,如何评价中山大学新规「本科生毕业论文不能写综述类论文」，会产生什么影响？,122 万热度,https://www.zhihu.com/question/431419499,34,130,81779,2020-11-24
36,为什么知道《王者荣耀》特别多细节却还是那么菜?,122 万热度,https://www.zhihu.com/question/430941708,146,197,119996,2020-11-24
37,如何评价湖人休赛期的运作，新赛季有多大把握卫冕？,106 万热度,https://www.zhihu.com/question/431567413,39,72,95637,2020-11-24
38,如何评价一人之下 532（501）话？,106 万热度,https://www.zhihu.com/question/431249637,41,70,123580,2020-11-24
39,万豪旗下五星酒店用浴巾擦马桶，酒店回应系员工私自违规操作，你怎么看？酒店卫生乱象该如何治理？,105 万热度,https://www.zhihu.com/question/431737089,35,77,39005,2020-11-24
41,三十五岁以后，如何穿搭出「高级感」？,93 万热度,https://www.zhihu.com/question/429674924,32,422,94129,2020-11-24
42,如何评价电影《万箭穿心》？,88 万热度,https://www.zhihu.com/question/20951553,403,2554,2063310,2020-11-24
43,雅思到 4.5 分意味着什么？,75 万热度,https://www.zhihu.com/question/31858855,90,339,416063,2020-11-24
44,你认为最霸气的诗句是什么？,73 万热度,https://www.zhihu.com/question/264294366,278,1221,297362,2020-11-24
45,如何看待个人在使用 App 时，使用网证代替输入身份信息进行认证？,72 万热度,https://www.zhihu.com/question/431604993,23,45,5470,2020-11-24
47,学会计专业毕业后最好的前途是什么？,69 万热度,https://www.zhihu.com/question/28502540,364,16199,6374205,2020-11-24
48,如何评价联想新发布的 Yoga 27 一体机，为什么很少有一体机搭载高性能显卡？,66 万热度,https://www.zhihu.com/question/426570613,28,72,65749,2020-11-24
49,有哪些在朋友圈会被秒赞的文案?,62 万热度,https://www.zhihu.com/question/408472647,"1,039",16503,10869950,2020-11-24
50,时间总是不够用怎么办？,58 万热度,https://www.zhihu.com/question/430513997,40,212,18597,2020-11-24
