排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
20,如何看待王书金案发回重审后一审宣判：犯故意杀人罪、强奸罪判处死刑？,239 万热度,https://www.zhihu.com/question/431735042,37,184,98494,2020-11-24
21,如何看待「逮捕安倍」等相关话题登上日本热搜榜？,228 万热度,https://www.zhihu.com/question/431725833,35,169,207002,2020-11-24
22,肝癌早期有些什么症状？,227 万热度,https://www.zhihu.com/question/427728683,48,470,416915,2020-11-24
23,如何看待江苏泰州一奔驰男撞外卖员后称「外卖员人命不值钱」惹众怒，遭外卖员围殴被打出血？,220 万热度,https://www.zhihu.com/question/431744548,158,327,122494,2020-11-24
24,汪涵何炅谢娜退出芒果关联公司意味着什么？是否会对芒果的收视率产生影响呢？,215 万热度,https://www.zhihu.com/question/431638793,49,241,522853,2020-11-24
25,如果我可以把缝衣针甩出 1000km/s  且比较有准头 我能干什么？,194 万热度,https://www.zhihu.com/question/430873619,363,474,164672,2020-11-24
26,如何看待合肥一男子捅女友 20 余刀藏尸冰柜，事前看《误杀》搜杀人责任问题？,189 万热度,https://www.zhihu.com/question/431621039,35,209,124295,2020-11-24
27,为什么互相喜欢却还要分手？,162 万热度,https://www.zhihu.com/question/303998486,364,695,174030,2020-11-24
28,学生党朝九晚五的努力学习真的值得吗？未来是否会因此而更好过呢？,158 万热度,https://www.zhihu.com/question/427639129,626,1097,189131,2020-11-24
29,高数为什么不能好好说话？,150 万热度,https://www.zhihu.com/question/430600056,53,370,108263,2020-11-24
30,如何评价原神的新活动「未归的熄星」?,143 万热度,https://www.zhihu.com/question/430931337,33,70,127052,2020-11-24
31,如何评价《全员恶玉》？,132 万热度,https://www.zhihu.com/question/425070289,84,161,221542,2020-11-24
32,江苏淮安重大暴力袭警案宣判，被告人被判处死刑，如何看待这一判决结果？还有哪些信息值得关注？,131 万热度,https://www.zhihu.com/question/431742603,29,178,90303,2020-11-24
33,为什么知道《王者荣耀》特别多细节却还是那么菜?,120 万热度,https://www.zhihu.com/question/430941708,140,190,116789,2020-11-24
34,如何评价中山大学新规「本科生毕业论文不能写综述类论文」，会产生什么影响？,120 万热度,https://www.zhihu.com/question/431419499,34,123,77828,2020-11-24
35,如何看待《中国化学》一论文通讯作者把自己 P 成女娲，作为期刊封面？,118 万热度,https://www.zhihu.com/question/431763472,24,75,49352,2020-11-24
36,如何评价一人之下 532（501）话？,105 万热度,https://www.zhihu.com/question/431249637,41,69,121002,2020-11-24
37,如何评价湖人休赛期的运作，新赛季有多大把握卫冕？,105 万热度,https://www.zhihu.com/question/431567413,38,70,93314,2020-11-24
38,万豪旗下五星酒店用浴巾擦马桶，酒店回应系员工私自违规操作，你怎么看？酒店卫生乱象该如何治理？,102 万热度,https://www.zhihu.com/question/431737089,33,73,35904,2020-11-24
40,三十五岁以后，如何穿搭出「高级感」？,91 万热度,https://www.zhihu.com/question/429674924,32,405,91712,2020-11-24
41,如何评价电影《万箭穿心》？,87 万热度,https://www.zhihu.com/question/20951553,402,2552,2061326,2020-11-24
42,时间总是不够用怎么办？,78 万热度,https://www.zhihu.com/question/430513997,39,207,17886,2020-11-24
43,雅思到 4.5 分意味着什么？,73 万热度,https://www.zhihu.com/question/31858855,90,337,414153,2020-11-24
44,你认为最霸气的诗句是什么？,72 万热度,https://www.zhihu.com/question/264294366,275,1212,295638,2020-11-24
45,如何看待个人在使用 App 时，使用网证代替输入身份信息进行认证？,70 万热度,https://www.zhihu.com/question/431604993,23,42,4383,2020-11-24
47,学会计专业毕业后最好的前途是什么？,67 万热度,https://www.zhihu.com/question/28502540,364,16189,6372742,2020-11-24
48,如何评价联想新发布的 Yoga 27 一体机，为什么很少有一体机搭载高性能显卡？,65 万热度,https://www.zhihu.com/question/426570613,28,71,63753,2020-11-24
49,有哪些在朋友圈会被秒赞的文案?,59 万热度,https://www.zhihu.com/question/408472647,"1,039",16497,10867735,2020-11-24
50,假如带着全自动的子弹无限的反器材狙击枪穿越到了古代，见到皇上就可以不跪了吗?,58 万热度,https://www.zhihu.com/question/430658470,218,367,839084,2020-11-24
排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
2,如何看待 NASA 回应「嫦娥五号」发射成功：希望中国分享探月数据？,2524 万热度,https://www.zhihu.com/question/431730729,176,890,1093236,2020-11-24
3,如果你有 650 万存款和一套房，你会辞职养老吗？,1259 万热度,https://www.zhihu.com/question/426020154,"1,892",2600,1793884,2020-11-24
4,马保国回应参演电影称「你走着瞧，电影肯定会火」，表示只接正能量题材，对自己的演技很有信心，你怎么看？,1033 万热度,https://www.zhihu.com/question/431625733,645,2080,2107551,2020-11-24
5,为什么年轻人不要养龟？,831 万热度,https://www.zhihu.com/question/388894703,280,1105,1517900,2020-11-24
6,如何看待湖北宜昌一老太冒雨交医保被拒收现金，工作人员称「不收现金，要么告诉亲戚，要么你自己手机支付」？,790 万热度,https://www.zhihu.com/question/431739890,812,1695,1020912,2020-11-24
7,如何看待山东德州因不孕遭婆家虐待致死女子被安排阴婚，表哥称「当地习俗，收了几千块钱丧葬费」？,750 万热度,https://www.zhihu.com/question/431745317,426,1040,742167,2020-11-24
8,娶了一位外国妻子是什么样的体验？,670 万热度,https://www.zhihu.com/question/420779312,150,2972,10644190,2020-11-24
9,如何看待小米集团王嵋称未来得吊丝者得天下？,642 万热度,https://www.zhihu.com/question/431674358,432,975,719178,2020-11-24
10,如何评价网红泽一锋冒充医学生进入医科大学解剖楼拍有大体老师出现的视频？,614 万热度,https://www.zhihu.com/question/431688009,183,589,603250,2020-11-24
11,如何看待网传清华美院学妹被学长强吻，是否已经构成性骚扰？,567 万热度,https://www.zhihu.com/question/431516938,"1,161",2426,3073343,2020-11-24
12,君合这样的红圈所为什么要录制《令人心动的 offer》这个综艺？,521 万热度,https://www.zhihu.com/question/430311648,76,493,1436108,2020-11-24
13,大部分玄幻小说设定下，跨两个大境界就能灭一个宗门，那为什么还有小宗门的存在？,474 万热度,https://www.zhihu.com/question/423208651,551,854,1363688,2020-11-24
14,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？,472 万热度,https://www.zhihu.com/question/430994765,115,661,779862,2020-11-24
15,iPhone 12 真实消费者体验如何？是否值得购买？,322 万热度,https://www.zhihu.com/question/427120473,631,2140,3436618,2020-11-24
16,结过婚的女生对未婚女生有什么忠告？,299 万热度,https://www.zhihu.com/question/429392239,525,1880,695755,2020-11-24
17,有哪些分享到朋友圈会让人觉得我有病的沙雕冷知识？,277 万热度,https://www.zhihu.com/question/431008343,107,1934,1009254,2020-11-24
18,如何看待美媒称美国总务管理局通知拜登准备启动过渡进程，美国大选结果是否已成定局？,270 万热度,https://www.zhihu.com/question/431724655,111,340,381116,2020-11-24
19,耗子尾汁公司在海南成立，涉及互联网直播服务，如何看待大量网络热词被注册成公司名？,262 万热度,https://www.zhihu.com/question/431745193,37,220,73689,2020-11-24
20,如何看待王书金案发回重审后一审宣判：犯故意杀人罪、强奸罪判处死刑？,241 万热度,https://www.zhihu.com/question/431735042,39,186,99184,2020-11-24
21,如何看待「逮捕安倍」等相关话题登上日本热搜榜？,230 万热度,https://www.zhihu.com/question/431725833,36,174,209038,2020-11-24
22,肝癌早期有些什么症状？,226 万热度,https://www.zhihu.com/question/427728683,48,471,417743,2020-11-24
23,如何看待江苏泰州一奔驰男撞外卖员后称「外卖员人命不值钱」惹众怒，遭外卖员围殴被打出血？,226 万热度,https://www.zhihu.com/question/431744548,160,331,125422,2020-11-24
24,汪涵何炅谢娜退出芒果关联公司意味着什么？是否会对芒果的收视率产生影响呢？,216 万热度,https://www.zhihu.com/question/431638793,50,242,524261,2020-11-24
25,如果我可以把缝衣针甩出 1000km/s  且比较有准头 我能干什么？,199 万热度,https://www.zhihu.com/question/430873619,365,476,166916,2020-11-24
26,如何看待合肥一男子捅女友 20 余刀藏尸冰柜，事前看《误杀》搜杀人责任问题？,191 万热度,https://www.zhihu.com/question/431621039,35,209,125580,2020-11-24
27,为什么互相喜欢却还要分手？,163 万热度,https://www.zhihu.com/question/303998486,364,699,174992,2020-11-24
28,学生党朝九晚五的努力学习真的值得吗？未来是否会因此而更好过呢？,158 万热度,https://www.zhihu.com/question/427639129,627,1099,189583,2020-11-24
29,高数为什么不能好好说话？,151 万热度,https://www.zhihu.com/question/430600056,53,371,108630,2020-11-24
30,如何评价原神的新活动「未归的熄星」?,143 万热度,https://www.zhihu.com/question/430931337,33,70,127753,2020-11-24
31,江苏淮安重大暴力袭警案宣判，被告人被判处死刑，如何看待这一判决结果？还有哪些信息值得关注？,132 万热度,https://www.zhihu.com/question/431742603,29,179,91088,2020-11-24
32,如何评价《全员恶玉》？,132 万热度,https://www.zhihu.com/question/425070289,84,161,221916,2020-11-24
33,为什么知道《王者荣耀》特别多细节却还是那么菜?,121 万热度,https://www.zhihu.com/question/430941708,141,191,117305,2020-11-24
34,如何评价中山大学新规「本科生毕业论文不能写综述类论文」，会产生什么影响？,120 万热度,https://www.zhihu.com/question/431419499,34,123,78501,2020-11-24
35,如何看待《中国化学》一论文通讯作者把自己 P 成女娲，作为期刊封面？,120 万热度,https://www.zhihu.com/question/431763472,24,75,51399,2020-11-24
36,如何评价一人之下 532（501）话？,105 万热度,https://www.zhihu.com/question/431249637,41,70,121413,2020-11-24
37,如何评价湖人休赛期的运作，新赛季有多大把握卫冕？,105 万热度,https://www.zhihu.com/question/431567413,38,70,93669,2020-11-24
38,万豪旗下五星酒店用浴巾擦马桶，酒店回应系员工私自违规操作，你怎么看？酒店卫生乱象该如何治理？,102 万热度,https://www.zhihu.com/question/431737089,34,75,36329,2020-11-24
40,三十五岁以后，如何穿搭出「高级感」？,92 万热度,https://www.zhihu.com/question/429674924,32,410,92075,2020-11-24
41,如何评价电影《万箭穿心》？,87 万热度,https://www.zhihu.com/question/20951553,402,2552,2061652,2020-11-24
42,时间总是不够用怎么办？,78 万热度,https://www.zhihu.com/question/430513997,39,207,17991,2020-11-24
43,雅思到 4.5 分意味着什么？,74 万热度,https://www.zhihu.com/question/31858855,90,337,414366,2020-11-24
44,你认为最霸气的诗句是什么？,72 万热度,https://www.zhihu.com/question/264294366,275,1214,295869,2020-11-24
45,如何看待个人在使用 App 时，使用网证代替输入身份信息进行认证？,71 万热度,https://www.zhihu.com/question/431604993,23,43,4532,2020-11-24
47,学会计专业毕业后最好的前途是什么？,68 万热度,https://www.zhihu.com/question/28502540,364,16190,6373028,2020-11-24
48,如何评价联想新发布的 Yoga 27 一体机，为什么很少有一体机搭载高性能显卡？,65 万热度,https://www.zhihu.com/question/426570613,28,71,64093,2020-11-24
49,有哪些在朋友圈会被秒赞的文案?,59 万热度,https://www.zhihu.com/question/408472647,"1,039",16498,10868184,2020-11-24
50,假如带着全自动的子弹无限的反器材狙击枪穿越到了古代，见到皇上就可以不跪了吗?,58 万热度,https://www.zhihu.com/question/430658470,218,367,839738,2020-11-24
排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
2,如何看待 NASA 回应「嫦娥五号」发射成功：希望中国分享探月数据？,2543 万热度,https://www.zhihu.com/question/431730729,176,893,1104428,2020-11-24
3,如果你有 650 万存款和一套房，你会辞职养老吗？,1258 万热度,https://www.zhihu.com/question/426020154,"1,897",2605,1798589,2020-11-24
4,马保国回应参演电影称「你走着瞧，电影肯定会火」，表示只接正能量题材，对自己的演技很有信心，你怎么看？,1030 万热度,https://www.zhihu.com/question/431625733,646,2085,2110897,2020-11-24
5,为什么年轻人不要养龟？,831 万热度,https://www.zhihu.com/question/388894703,281,1108,1521197,2020-11-24
6,如何看待湖北宜昌一老太冒雨交医保被拒收现金，工作人员称「不收现金，要么告诉亲戚，要么你自己手机支付」？,790 万热度,https://www.zhihu.com/question/431739890,813,1700,1026287,2020-11-24
7,如何看待山东德州因不孕遭婆家虐待致死女子被安排阴婚，表哥称「当地习俗，收了几千块钱丧葬费」？,750 万热度,https://www.zhihu.com/question/431745317,428,1046,748679,2020-11-24
8,娶了一位外国妻子是什么样的体验？,669 万热度,https://www.zhihu.com/question/420779312,150,2973,10647933,2020-11-24
9,如何看待小米集团王嵋称未来得吊丝者得天下？,644 万热度,https://www.zhihu.com/question/431674358,433,978,722832,2020-11-24
10,如何评价网红泽一锋冒充医学生进入医科大学解剖楼拍有大体老师出现的视频？,618 万热度,https://www.zhihu.com/question/431688009,184,593,608368,2020-11-24
11,如何看待网传清华美院学妹被学长强吻，是否已经构成性骚扰？,569 万热度,https://www.zhihu.com/question/431516938,"1,163",2428,3075981,2020-11-24
12,君合这样的红圈所为什么要录制《令人心动的 offer》这个综艺？,521 万热度,https://www.zhihu.com/question/430311648,76,493,1438244,2020-11-24
13,大部分玄幻小说设定下，跨两个大境界就能灭一个宗门，那为什么还有小宗门的存在？,474 万热度,https://www.zhihu.com/question/423208651,549,854,1366077,2020-11-24
14,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？,473 万热度,https://www.zhihu.com/question/430994765,115,662,781895,2020-11-24
15,iPhone 12 真实消费者体验如何？是否值得购买？,322 万热度,https://www.zhihu.com/question/427120473,632,2142,3437623,2020-11-24
16,结过婚的女生对未婚女生有什么忠告？,298 万热度,https://www.zhihu.com/question/429392239,528,1887,697912,2020-11-24
17,有哪些分享到朋友圈会让人觉得我有病的沙雕冷知识？,274 万热度,https://www.zhihu.com/question/431008343,107,1936,1010147,2020-11-24
18,如何看待美媒称美国总务管理局通知拜登准备启动过渡进程，美国大选结果是否已成定局？,270 万热度,https://www.zhihu.com/question/431724655,111,340,382517,2020-11-24
19,耗子尾汁公司在海南成立，涉及互联网直播服务，如何看待大量网络热词被注册成公司名？,265 万热度,https://www.zhihu.com/question/431745193,38,226,75225,2020-11-24
20,如何看待王书金案发回重审后一审宣判：犯故意杀人罪、强奸罪判处死刑？,241 万热度,https://www.zhihu.com/question/431735042,39,188,99871,2020-11-24
21,如何看待「逮捕安倍」等相关话题登上日本热搜榜？,232 万热度,https://www.zhihu.com/question/431725833,36,175,211102,2020-11-24
22,如何看待江苏泰州一奔驰男撞外卖员后称「外卖员人命不值钱」惹众怒，遭外卖员围殴被打出血？,228 万热度,https://www.zhihu.com/question/431744548,161,334,128108,2020-11-24
23,肝癌早期有些什么症状？,227 万热度,https://www.zhihu.com/question/427728683,48,476,418609,2020-11-24
24,汪涵何炅谢娜退出芒果关联公司意味着什么？是否会对芒果的收视率产生影响呢？,216 万热度,https://www.zhihu.com/question/431638793,50,244,525611,2020-11-24
25,如果我可以把缝衣针甩出 1000km/s  且比较有准头 我能干什么？,201 万热度,https://www.zhihu.com/question/430873619,368,480,169628,2020-11-24
26,如何看待合肥一男子捅女友 20 余刀藏尸冰柜，事前看《误杀》搜杀人责任问题？,192 万热度,https://www.zhihu.com/question/431621039,35,211,126679,2020-11-24
27,为什么互相喜欢却还要分手？,164 万热度,https://www.zhihu.com/question/303998486,364,700,175771,2020-11-24
28,学生党朝九晚五的努力学习真的值得吗？未来是否会因此而更好过呢？,158 万热度,https://www.zhihu.com/question/427639129,627,1100,190050,2020-11-24
29,高数为什么不能好好说话？,151 万热度,https://www.zhihu.com/question/430600056,53,375,109083,2020-11-24
30,如何评价原神的新活动「未归的熄星」?,144 万热度,https://www.zhihu.com/question/430931337,34,71,128522,2020-11-24
31,江苏淮安重大暴力袭警案宣判，被告人被判处死刑，如何看待这一判决结果？还有哪些信息值得关注？,133 万热度,https://www.zhihu.com/question/431742603,29,181,91865,2020-11-24
32,如何评价《全员恶玉》？,132 万热度,https://www.zhihu.com/question/425070289,85,161,222360,2020-11-24
33,如何看待《中国化学》一论文通讯作者把自己 P 成女娲，作为期刊封面？,121 万热度,https://www.zhihu.com/question/431763472,25,76,53730,2020-11-24
34,为什么知道《王者荣耀》特别多细节却还是那么菜?,121 万热度,https://www.zhihu.com/question/430941708,142,192,117895,2020-11-24
35,如何评价中山大学新规「本科生毕业论文不能写综述类论文」，会产生什么影响？,121 万热度,https://www.zhihu.com/question/431419499,34,125,79148,2020-11-24
36,如何评价一人之下 532（501）话？,105 万热度,https://www.zhihu.com/question/431249637,41,70,121798,2020-11-24
37,如何评价湖人休赛期的运作，新赛季有多大把握卫冕？,105 万热度,https://www.zhihu.com/question/431567413,39,71,94068,2020-11-24
38,万豪旗下五星酒店用浴巾擦马桶，酒店回应系员工私自违规操作，你怎么看？酒店卫生乱象该如何治理？,103 万热度,https://www.zhihu.com/question/431737089,35,76,36861,2020-11-24
40,三十五岁以后，如何穿搭出「高级感」？,92 万热度,https://www.zhihu.com/question/429674924,32,410,92483,2020-11-24
41,如何评价电影《万箭穿心》？,88 万热度,https://www.zhihu.com/question/20951553,402,2552,2061983,2020-11-24
42,时间总是不够用怎么办？,78 万热度,https://www.zhihu.com/question/430513997,39,208,18114,2020-11-24
43,雅思到 4.5 分意味着什么？,74 万热度,https://www.zhihu.com/question/31858855,90,338,414693,2020-11-24
44,你认为最霸气的诗句是什么？,73 万热度,https://www.zhihu.com/question/264294366,275,1215,296159,2020-11-24
45,如何看待个人在使用 App 时，使用网证代替输入身份信息进行认证？,71 万热度,https://www.zhihu.com/question/431604993,23,43,4677,2020-11-24
47,学会计专业毕业后最好的前途是什么？,68 万热度,https://www.zhihu.com/question/28502540,364,16193,6373265,2020-11-24
48,如何评价联想新发布的 Yoga 27 一体机，为什么很少有一体机搭载高性能显卡？,65 万热度,https://www.zhihu.com/question/426570613,28,71,64355,2020-11-24
49,有哪些在朋友圈会被秒赞的文案?,60 万热度,https://www.zhihu.com/question/408472647,"1,039",16498,10868536,2020-11-24
50,假如带着全自动的子弹无限的反器材狙击枪穿越到了古代，见到皇上就可以不跪了吗?,58 万热度,https://www.zhihu.com/question/430658470,218,367,840258,2020-11-24
